ENTRY_PLATE,total_stays,centric_stays,duration,morn_stays,aft_stays,night_stays,stays_labo,stays_sat,stays_sun,recency,discount
004dfc0c62de579bb64aa605a6cd9613c8f2f576,1,1,2.183333333333333,0,1,0,0,1,0,56,200.0
0050e395c31700a9db308c7dd7bea7670ee81f31,2,1,0.8154166666666667,2,0,0,2,0,0,50,0.0
005332429c805f1c2cd9cd284ee27b81323eca29,1,1,1.1502777777777775,1,0,0,0,1,0,56,0.0
0054209cafb8bf037160b6ca42d3a1dc68a202d1,1,1,2.101111111111111,0,1,0,1,0,0,58,0.0
00547bf9b81732228dd5050a0a72394db445d1e8,1,1,1.7530555555555556,1,0,0,1,0,0,64,0.0
00548bcbbb0a6c4f5cd09dce41139e894eb9e4ae,2,0,10.053611111111113,1,1,0,0,1,1,41,0.0
00549679c739f3d594d133a5549d96f8b680f178,2,0,1.5984722222222223,2,0,0,2,0,0,44,0.0
00557182f975b46505a6429ee33487521cedea65,2,2,0.5415277777777778,2,0,0,2,0,0,46,0.0
0055d78e08b497665355e8d4a4d9b26f9e073bc4,1,1,2.5416666666666665,1,0,0,1,0,0,47,0.0
00587f7b93e8826fb4262028b04405582f611c0c,1,0,1.4936111111111108,0,1,0,0,1,0,63,0.0
0058bf71f53a347c7e96348446f43f0d06b5ab46,12,10,0.7877546296296297,6,6,0,12,0,0,40,35.0
0060e637eaa837223beb36693baa364ec2ecee42,2,2,0.8675,1,1,0,2,0,0,46,0.0
006391d84414f4f4192b0c690d42651930265f1e,2,2,0.8143055555555556,2,0,0,1,1,0,42,0.0
0066a793c7634d7e912a3634ae442e5d1299d4b3,6,0,5.536157407407408,6,0,0,6,0,0,50,0.0
00670a8d2e20240531ab45305d9fee0221559099,2,2,0.3763888888888889,1,1,0,2,0,0,51,0.0
006a6ff82eae6e206bf91944c858a6fc906f403c,1,1,1.5163888888888888,0,1,0,0,1,0,49,0.0
006b026ab255483d7a4d5689834da756c7e8fbe2,3,3,0.5423148148148148,1,2,0,3,0,0,46,0.0
